name,location
Hotel Os Poetas,"Rua Doutor Alberto Cruz No. 9, Ponte da Barca 4980-629 Portugal"
Villa Margaridi,"Avianda Rio de Janeiro 440, Guimaraes 4810-009 Portugal"
Hotel Fátima,"Rua João Paulo II, No. 241, Fatima 2495-451 Portugal"
Harbour Inn Design Townhouse,"Rua do Godinho 15, Matosinhos 4450-148 Portugal"
Onyria Quinta da Marinha Hotel,"Rua das Palmeiras, n.º 247, Cascais 2750-005 Portugal"
Casa Pinha,"Rua Parque Florestal 123 Serra da Boa Viagem, Figueira da Foz 3080-357 Portugal"
Park Hotel Porto Gaia,"Rua da Bélgica, 3172, Vila Nova de Gaia 4400-049 Portugal"
"The View – Santo Antonio Villas, Golf & Spa","Rua 28 de Janeiro, Praia da Salema, Salema 8650-190 Portugal"
Riversuites,"Avenida Joao das Regras 82, Coimbra 3040-256 Portugal"
Casa de Santa Cruz,"Rua Cimo do Lugar 1, Felgar 5160-072 Portugal"
Quinta de Anterronde-Agroturismo,"Quinta de Anterronde Santa Eulália, Arouca 4540-179 Portugal"
Eurostars Porto Douro,"Avenida Gustavo Eiffel 22, Porto 4000-279 Portugal"
Lua De Caldelas,"Rua Padre João Martins De Freitas 117, Caldelas 4720-689 Portugal"
Hotel Rosa Mistica,"Rua Francisco Marto nº 69, Fatima 2495-448 Portugal"
Spot Apartments Trindade,"Rua de Camoes 33 Uniao de Freguesias DO Centro, Porto 4000-144 Portugal"
Monte do Zeca,"Casa Nova dos Pinheiros Cavaleiro, Zambujeira do Mar, Odemira 7630-743 Portugal"
Conii Hostel & Suites,"Rua Gago Coutinho 25, Quarteira 8125-217 Portugal"
Quinta Lamosa Ecotourism,"Lugar da Zebra, Arcos de Valdevez 4970-182 Portugal"
Ocean Gardens,"Estrada Conde Carvalhal 321, Funchal, Madeira 9060-054 Portugal"
Cidnay Santo Tirso - Charming Hotel & Executive Center,"Rua Dr Joao Goncalves, Santo Tirso 4784-909 Portugal"
HF Fenix Lisboa,"Praca Marques de Pombal 8, Lisbon 1269-133 Portugal"
Hotel The Cliff Bay,"Estrada Monumental 147, Funchal, Madeira 9004-532 Portugal"
Casa do Moleiro,"Pelisqueira Rua Da, Ferreiros de Tendais 4690-229 Portugal"
Villas D. Dinis Charming Residence Adults Only,"Estrada Ponta da Piedade Dona Ana Beach, Lote 26, Lagos 8600-544 Portugal"
Hotel Gat Rossio,"Rua do Jardim do Regedor 27 35, Lisbon 1150-193 Portugal"
Chalet Relogio,"Estrada da Pena 22, Sintra 2710-609 Portugal"
Solar dos Poetas,"Praca Luis De Camoes 36, Lisbon 1200-243 Portugal"
Quinta do Furão,"Estrada Da Quinta Do Furão No: 6, Santana, Madeira 9230-082 Portugal"
Independente Principe Real,"R. de São Pedro de Alcântara 81, Lisbon 1250-238 Portugal"
Luna Clube Oceano,"Rua Columbano Bordalo Pinheiro Forte de São João, Albufeira 8200-911 Portugal"
Four Seasons Fairways,"Avenida André Jordan, 37, Quinta do Lago 8135-024 Portugal"
SANA Capitol Hotel,"Rua Eça de Queirós 24, Lisbon 1050-096 Portugal"
Royal Savoy Hotel,"Rua Carvalho Araújo 7, Funchal, Madeira 9000-022 Portugal"
Cloud 9 Hostel,"Rua Soeiro da Costa no 9, Lagos 8600-624 Portugal"
Tivoli Kopke Porto Gaia Hotel,"Rua do Barão de Forrester 69, Vila Nova de Gaia 4400-034 Portugal"
Quinta do Mirante - ANC Resort,"Rua do Cerco 29 Caloura, Agua de Pau, São Miguel 9560-206 Portugal"
Aparthotel Porto Historico,"Travessa do Carregal 109, Porto 4050-167 Portugal"
Torel Palace Porto,"Rua de Entreparedes 42, Porto 4050-994 Portugal"
Porto Cinema Apartments,"Rua de Santa Catarina no. 10, Porto 4000-441 Portugal"
Pateo Lisbon Lounge Suites,"Rua das Farinhas, 43 Mouraria, Lisbon 1100-236 Portugal"
Dream Chiado,"Rua Nova do Almada 64, Lisbon 1200 Portugal"
Quinta de Lourosa,"Estrada Santa Maria de Sousela 1913, Lousada 4620-722 Portugal"
Pensao Central,"Rua Brito Capelo 599, Matosinhos 4450-075 Portugal"
The Vine House - Quinta São Luiz,"En 222 Adorigo, Adorigo 5120-012 Portugal"
Hotel Principe Lisboa,"Av. Duque de Avila, 201, Lisbon 1050-082 Portugal"
Dom Nuno - Turismo de Habitação,"Rua Jose Fernandes Caeiro n. 6, Monsaraz 7200-175 Portugal"
PortoSense,"Rua dos Mercadores 3, Porto 4050-375 Portugal"
Quinta Dos Oliveiras,"Sitio do Passarinho, -428, Lagoa 8401-908 Portugal"
Casas Campo Cimo da Quinta,"Cafariz- Pena branca, Miranda do Douro 5210-172 Portugal"
Casa Holstein,"R. São Sebastião 3, Sintra 2710-592 Portugal"
Casa Das Muralhas,"5 Pedro Alvares Cabral Street, Covilha 6200-162 Portugal"
Living Santa Cruz,"Rua Martins de Carvalho 30, Coimbra 3000-274 Portugal"
Casa Do Rio Wine Hotel,"Estrada Nacional 222, Castelo Melhor 5150-146 Portugal"
Villa Eira,"Rua Eira da Pedra, Lote 7, Vila Nova de Milfontes 7645-258 Portugal"
Quinta de São Tomé,"Estrada da Igrejinha Em527-1, Evora 7005-847 Portugal"
Hotel Virgem Maria,"Avenida Dom José Alves Correia da Silva nº 40 Fátima, Fatima 2495-402 Portugal"
ibis Styles Lisboa Centro Liberdade NE,"Avenida Duque de Loule 73, Lisbon 1050-088 Portugal"
Myriad By Sana,"Cais das Naus, Lote 2.21.01 Parque das Nações, Lisbon 1990-173 Portugal"
Apartamentos Bellevue Nr. 1,"Rua das Flores No 1, Carvoeiro 8400-510 Portugal"
Cinco Bed & Breakfast,"Largo da Caracota 5, Sintra 2710-547 Portugal"
"SDivine Fatima Hotel, Congress & Spirituality","Rotunda dos Peregrinos 101, Fatima 2495-412 Portugal"
Villa Esmeralda,"Estrada de Porto de Mos Porto de Mós, Lagos 8600-513 Portugal"
Residencia Quinta do Poco,"En268 Residencia Quinta do Poco, Sagres 8650-375 Portugal"
Pousada Viseu,"Rua do Hospital, Viseu 3500-161 Portugal"
Lab Hostel Nazaré,"Rua Rio Maior No. 14, Nazare 2450-261 Portugal"
O Castelo Guest House,"Rua do Casino 59 63, Carvoeiro 8400-515 Portugal"
Crowne Plaza Vilamoura,"Rua Do Oceano Atlantico, Vilamoura, Quarteira 8124-478 Portugal"
Parque de Campismo Municipal de Mira,"Avenida da Barrinha Praia de Mira, Mira 3070-792 Portugal"
Luna Parque B&B,"Avenida Antonio Augusto de Aguiar 80, Lisbon 1050-018 Portugal"
Pousada de Juventude de Viseu,"Rua Consul Aristides Sousa Mendes, Viseu 3500-021 Portugal"
Hotel Imperio do Norte,"Rua 5 de Outubro 97, Ponte de Lima 4990-028 Portugal"
Saccharum,"Rua Serra d'Água, 1 Solar D. Manuel I, Calheta, Madeira 9370-087 Portugal"
Penedo da Saudade Suites & Hostel,"Av Dr Marnoco e Sousa, 18 B, Coimbra 3000-271 Portugal"
Vila Gale Nep Kids,"Herdade Da Figueirinha, Beja 7800-730 Portugal"
Maria Mar - Surf & Guest House,"Estrada Nacional 261, Melides, Grandola 7570-610 Portugal"
Macarico Beach Hotel,"Rua Raul Brandao 17, Praia de Mira 3070-815 Portugal"
"Pine Cliffs Ocean Suites, A Luxury Collection Resort & Spa","Praia Da Falésia, Pinhal Do Concelho Pinhal Do Concelho, Albufeira 8200-593 Portugal"
1e Carvoeiro,"Rua dos Pescadores 13, Carvoeiro 8400-512 Portugal"
1908 Lisboa Hotel,"Largo do Intendente Pina Manique 6, Lisbon 1100-285 Portugal"
Valverde Lisboa Hotel & Garden - Relais & Châteaux,"Avenida da Liberdade, 164, Lisbon 1250-146 Portugal"
Casa Pinto,"Praca Dom Nuno Alvares Pereira 10, Monsaraz 7200-175 Portugal"
Vila Galé Albacora,"Estr. Das 4 Águas, Tavira 8801-901 Portugal"
Dom Carlos Liberty,"Rua Alexandre Herculano 13, Lisbon 1150-005 Portugal"
Eurostars Santa Luzia,"Rua Francisco Agra, 100, Guimaraes 4800-157 Portugal"
Lisbon Marriott Hotel,"Avenida dos Combatentes 45, Lisbon 1600-042 Portugal"
Quinta Paraiso da Mia,"Rua Jose da Conceicao Conde Parque da Praia, Luz 8600-169 Portugal"
Rochavau Hotel,"Avenida São Lourenço da Barrosa, Portimao 8500 Portugal"
Casa Da Piedade,"Estr. João Abel de Freitas 77, Sao Vicente, Madeira 9240-031 Portugal"
Ermida Geres Camping,"Rua Rabo de Cabra 21, Geres 4845-072 Portugal"
Vila Camacho Guest House,"Beco Da Amoreira 26, Sao Martinho, Funchal, Madeira 9000-086 Portugal"
"Reid's Palace, A Belmond Hotel, Madeira","Estrada Monumental 139, Funchal, Madeira 9000-098 Portugal"
PortoBay Liberdade,"Rua Rosa Araujo 8, Lisbon 1250-195 Portugal"
Pensao Residencial Setubalense,"Rua De Belem 28, Lisbon 1300-084 Portugal"
Turim Algarve Mor Hotel,"Avenida Tomás Cabreira, Praia da Rocha, Portimao 8500-802 Portugal"
Hyatt Regency Lisbon,"Rua da Junqueira 65, Lisbon 1300-343 Portugal"
Camping Quinta Valbom,"Lugar de Quinta Ribas, Celorico de Basto 4890-505 Portugal"
Casa Mitchell Apartments,"Rua do Tenis, Albufeira 8200-186 Portugal"
Belmar Spa & Beach Resort,"Estrada de Porto de Mos, Lagos 8600-513 Portugal"
Villas Barrocal,"Urbanizacao do Barrocal Edf Villas Barrocal,, Pera 8365-211 Portugal"
Montebelo Viseu Congress Hotel & Spa,"Urbanizacao Quinta do Bosque, Viseu 3510-020 Portugal"
