name,location
Parador Casa Da Insua,"Tv. do Penedo, Penalva do Castelo 3550-126 Portugal"
Vila Gale Lagos,"Rua Sophia De Melo Brayner Andresen Meia Praia, Lagos 8600-295 Portugal"
Casa Aldeia da Lapa,"Avenida Padre Francisco Pinto Ferreira (EM584), Sernancelhe 3640-170 Portugal"
Patio das Andorinhas,"Rua 25 de Abril 5, Ferreira do Alentejo 7900-574 Portugal"
Placid Village,"Sitio Dos Moinhos - Rua Guin̩, Carvoeiro 8400-998 Portugal"
Dare Lisbon River,"Travessa de Ṣo Paulo, 5, Lisbon 1200-431 Portugal"
Pousada Forte da Horta,"Rua Vasco da Gama, Horta, Faial Island 9900-017 Portugal"
Eira do Serrado Hotel & SPA,"Curral das Freiras, Funchal, Madeira 9000-421 Portugal"
Hotel Farol,"Avenida Ferṇo Magalḥes Largo do Farol - Praia da Barra, Ilhavo 3830-753 Portugal"
Vila Gal̩ Collection Monte Do Vilar,"Herdade da Figueirinha, Beja 7800-730 Portugal"
TheVagar Countryhouse,"Estrada Nacional 345, n 52 - 54 Serra da Esperan̤a, Belmonte 6250-092 Portugal"
