name,location
Lisboa Prata Boutique Hotel,"Rua da Prata 116, Lisbon 1100-420 Portugal"
Pestana Quinta Perestrello,"Rua Dr. Pita, 3 SÃ£o Martinho, Funchal, Madeira 9000-089 Portugal"
Hotel Balaia Senses,"Caminho Da Semina, Albufeira 8200-393 Portugal"
Hotel Cascais Miragem Health & Spa,"Av. Marginal, 8554, Cascais 2754-536 Portugal"
Belas Artes Apartments,"Avenida Rodrigues de Freitas 298, Porto 4000-418 Portugal"
Dom Joao III,"Avenida Dom Joao III 1B, Ponta Delgada, Flores 9500-310 Portugal"
Hotel-Apartamentos Dunamar,"Avenida Infante Dom Henrique, Monte Gordo 8900-413 Portugal"
Casa da Padaria,"Rua CÃ³nego Manuel Fernandes Nogueira, Piodao, Arganil 6285-018 Portugal"
Deluxe Surfhouse Algarve â€“ Surfcamp Portugal,"Vivenda Telhado Verde Cama da Vaca, Lagos 8600-104 Portugal"
Casa Do,"Rua Grande No. 41, Mina da Juliana 7800-731 Portugal"
Descobertas Boutique Hotel By,"Rua Fonte Taurina 14-22, Porto 4050-269 Portugal"
Casa da Portela de,"Sampriz s/n, Ponte da Barca 4980-722 Portugal"
Sao Paulo Boutique,"PraÃ§a Doutor AntÃ³nio Padinha nÂº 22, Tavira 8800-637 Portugal"
Mareta View Boutique Bed & Breakfast,"Beco Dom Henrique, Sagres 8650-327 Portugal"
Quinta Pedras de Baixo,"Rua de Santa Marta, nÂº 3262, Estrada M585, Braga 4805-209 Portugal"
Shining View,"Rua das Taipas 11, Porto 4050-599 Portugal"
M Maison Particuliere Porto,"Largo Sao Domingos 66, Porto 4050-545 Portugal"
Legendary Lisboa Suites,"Rua Rodrigo da Fonseca 44 50, Lisbon 1250-193 Portugal"
Vila GalÃ© Coimbra,"Rua Abel Dias Urbano 20, Coimbra 3000-001 Portugal"
Longroiva Hotel Rural,"Lugar Do Rossio, Meda 6430-071 Portugal"
Hotel Golf Mar,"Praia do Porto Novo, Maceira, Torres Vedras 2560-100 Portugal"
Hotel dos Templarios,"Largo Candido dos Reis NÂº1, Tomar 2300-326 Portugal"
Pestana Bahia Praia,"Praia de Ãgua d'Alto, Vila Franca do Campo, SÃ£o Miguel 9680-365 Portugal"
Sintra Marmoris Camelia,"R. Dr. Alfredo Da Costa 11, Sintra 2710-524 Portugal"
Pestana Viking,"Praia Senhora da Rocha ArmaÃ§Ã£o de PÃªra, Porches 8400-450 Portugal"
Hotel Convento de Sao Paulo,"Aldeia da Serra, Redondo 7170-120 Portugal"
Palacete Real Companhia do Cacau,"Lg. Alexandre Herculano, 1, Montemor-o-Novo 7050-110 Portugal"
Villa Center,"Rua Teofilo Saguer 3/5 2nd Esq./Dt., Grandola 7570-311 Portugal"
Vilas Marrocha,"Vila Senhora Da Rocha, Porches 8400-498 Portugal"
Porto Pim Bay,"Rua Nova 7, Horta, Faial Island 9900-023 Portugal"
Pedras do Mar Resort & Spa,"Rua das Terca 3, Fenais da Luz, SÃ£o Miguel 9545-229 Portugal"
Noah Surf House,"Avenida do AtlaÌ‚ntico, nÂº 2 A, Silveira 2560-061 Portugal"
Lisbon Downtown Inn,"Rua de Sao Nicolau 23 1 Esq., Lisbon 1100-547 Portugal"
Memoria Porto FLH Hotels,"Rua Sao Francisco 2, Porto 4050-548 Portugal"
Duque's Apartments,"Rua do Duque 51, Lisbon 1200-158 Portugal"
Three Houses Apartments,"Rua do Padre Cruz 181, Porto 4050-220 Portugal"
Hotel Albergaria Dias,"Rua Bela S Tiago 44-B, Funchal, Madeira 9060-400 Portugal"
EspaÃ§o Edla,"Rua Doutor Alfredo da Costa 52, Sintra 2710-523 Portugal"
Casa Vela Boutique House,"Rua dos Bem Lembrados 17, Cascais 2750-306 Portugal"
C'alma D'alentejo,"Rua dos Combatentes da Grande Guerra 23, Alandroal 7250-135 Portugal"
Hilton Porto Gaia,"Rua de Serpa Pinto, 124, Vila Nova de Gaia 4400-307 Portugal"
BJB Alojamentos,"Rua Capitao Joao Carlos de Mendonca 2, Olhao 8700-375 Portugal"
7 Cidades Lake Lodge,"Rua das Lavadeiras, No 2, Ponta Delgada, SÃ£o Miguel 9500 Portugal"
Camping Villa Park Zambujeira do Mar,"Zambujeira do Mar, Odemira 7630-740 Portugal"
Herdade da Serrinha Agro-Turismo,"Herdade da Azinheirinha Estrada da Caravela Apartado 18, Montemor-o-Novo 7050-019 Portugal"
Solar da Campina Turismo Rural,"Rua Maria Campina 970 - C Luz de Tavira, Tavira 8800-418 Portugal"
Parque Campismo Ria Formosa,"Quinta da Gomeira â€“ Cabanas de Tavira, Tavira 8800-058 Portugal"
Monte Joao Roupeiro,"Joao Roupeiro -Odeceixe, Aljezur 8670-312 Portugal"
A Casa Formosa,"Rua Formosa 433 2 Andar, Porto 4000-253 Portugal"
Solar Dos CÃ¡ceres,"Praca Dr. Carlos Figueiredo Nunes Casal Vasco, Fornos de Algodres 6370-229 Portugal"
Captain's Log House,"Avenida do Mar, Peniche 2520-205 Portugal"
Grand Muthu Forte Do Vale,"Rua Dunfermline, Albufeira 8200-278 Portugal"
Sant Jordi Hostels Lisbon,"Rua do Forno do Tijolo 3, Lisbon 1170-132 Portugal"
Predicados do Douro Palace,"Rua Dom Manuel II 246, Porto 4050-343 Portugal"
Wyndham Residences Alvor Beach,"Rua Do Barinel Praia De Alvor, Alvor, Portimao 8500-088 Portugal"
Park Hotel Porto Valongo,"Rua Fonte da Senhora, Valongo 4440-653 Portugal"
Casa Lagoa,"Rua Francisco Almeida Grandela 57, Foz do Arelho 2500-487 Portugal"
Algarve Surf Hostel - Lagos,"Lote 55 Rua do Cerro das Mos, Lagos 8600-714 Portugal"
Casa do Moleiro,"Pelisqueira Rua Da, Ferreiros de Tendais 4690-229 Portugal"
Villas D. Dinis Charming Residence Adults Only,"Estrada Ponta da Piedade Dona Ana Beach, Lote 26, Lagos 8600-544 Portugal"
Hotel Gat Rossio,"Rua do Jardim do Regedor 27 35, Lisbon 1150-193 Portugal"
Chalet Relogio,"Estrada da Pena 22, Sintra 2710-609 Portugal"
Solar dos Poetas,"Praca Luis De Camoes 36, Lisbon 1200-243 Portugal"
Quinta do FurÃ£o,"Estrada Da Quinta Do FurÃ£o No: 6, Santana, Madeira 9230-082 Portugal"
Independente Principe Real,"R. de SÃ£o Pedro de AlcÃ¢ntara 81, Lisbon 1250-238 Portugal"
Luna Clube Oceano,"Rua Columbano Bordalo Pinheiro Forte de SÃ£o JoÃ£o, Albufeira 8200-911 Portugal"
Four Seasons Fairways,"Avenida AndrÃ© Jordan, 37, Quinta do Lago 8135-024 Portugal"
SANA Capitol Hotel,"Rua EÃ§a de QueirÃ³s 24, Lisbon 1050-096 Portugal"
Royal Savoy Hotel,"Rua Carvalho AraÃºjo 7, Funchal, Madeira 9000-022 Portugal"
Cloud 9 Hostel,"Rua Soeiro da Costa no 9, Lagos 8600-624 Portugal"
Tivoli Kopke Porto Gaia Hotel,"Rua do BarÃ£o de Forrester 69, Vila Nova de Gaia 4400-034 Portugal"
Quinta do Mirante - ANC Resort,"Rua do Cerco 29 Caloura, Agua de Pau, SÃ£o Miguel 9560-206 Portugal"
Aparthotel Porto Historico,"Travessa do Carregal 109, Porto 4050-167 Portugal"
Torel Palace Porto,"Rua de Entreparedes 42, Porto 4050-994 Portugal"
Porto Cinema Apartments,"Rua de Santa Catarina no. 10, Porto 4000-441 Portugal"
Pateo Lisbon Lounge Suites,"Rua das Farinhas, 43 Mouraria, Lisbon 1100-236 Portugal"
Dream Chiado,"Rua Nova do Almada 64, Lisbon 1200 Portugal"
Quinta de Lourosa,"Estrada Santa Maria de Sousela 1913, Lousada 4620-722 Portugal"
Pensao Central,"Rua Brito Capelo 599, Matosinhos 4450-075 Portugal"
Castelos da Rocha Apartments,"R. Agosto Azul 4, Praia da Rocha, Portimao 8500-367 Portugal"
Hotel Rural da Freita,"Serra da Freita, Mizarela, Cabreiros and Albergaria da Serra 4540-013 Portugal"
Quinta da Magnolia,"Sao Mateus Urzelina 13, Velas, Sao Jorge 9800-405 Portugal"
Hotel Estalagem da Pateira,"Rua da Pateira 84, Fermentelos 3750-439 Portugal"
Cerro Da Borrega,"En 120 7630-675-SÃ£o TeotÃ³nio Odemira, Sao Teotonio, Odemira 7630-675 Portugal"
Quinta de Sao Tadeu,"Rua Carlos PaiÃ£o Massett, Sintra 2710-221 Portugal"
19 Tile Ceramic Concept - By Unlock Hotels,"Rua Gen. QueirÃ³s, 46, Caldas da Rainha 2500-211 Portugal"
Star Pine Lodge,"Estrada do Rodizio 145, Colares 2705-332 Portugal"
Rapture Surfcamp Ericeira - Coxos Surf Villa,"Coxos Beach, Santo Isidoro, Mafra 2640-014 Portugal"
Torel Royal Court,"Rua de CamÃµes, 106, Guimaraes 4810-442 Portugal"
Hotel Museu,"Rua Doutor Afonso Costa 112, Mertola 7750-352 Portugal"
Belvedere Boutique,"Caminho do Avista Navios 11, Funchal, Madeira 9000-130 Portugal"
B&B CandelÃ¡ria,"Corgos de Monte Seco Monte Seco, Loule 8100-295 Portugal"
Hotel Da Montanha,"Rua Nossa Senhora da Confianca NÂº 1200, Pedrogao Pequeno 6100-532 Portugal"
O Homem Verde,"En347 Espinhal, Penela 3230-109 Portugal"
Aqua Village Health Resort & Spa,"Avenida Principal number 1 Caldas de Sao Paulo, Oliveira do Hospital 3400-521 Portugal"
NH Marina PortimÃ£o Resort,"Marina PortimÃ£o, Portimao 8500-843 Portugal"
Casual Inca Porto,"PraÃ§a do Coronel Pacheco 52, Porto 4050-453 Portugal"
7g Roaster Apartments,"Rua de Franca 52, Vila Nova de Gaia 4400-174 Portugal"
Varandas De Lisboa,"Rua Afonso de Albuquerque 7, Lisbon 1100-070 Portugal"
Gran Cruz House,"Viela Buraco 19 Praca da Ribeira, Porto 4050-132 Portugal"
