name,location
Casa da Madalena Backpackers Hostel,"Travessa da Madalena 10, Faro 8000-461 Portugal"
Vila Petra,"Rua Mouzinho de Albuquerque Areias de SÃ£o JoÃ£o, Albufeira 8200-356 Portugal"
Aqualuz Lagos By The Editory,"Rua Sacadura Cabral 8, Lagos 8600-619 Portugal"
Hotel Regua Douro,"Largo da Estacao, Peso Da Regua 5050-237 Portugal"
Porto River Aparthotel,"Rua dos Canastreiros, 50, Porto 4050-149 Portugal"
Upon Angels,"Rua Dos Anjos, 10, Lisbon 1150-036 Portugal"
Old City Guest House,"Rua Dom Frei Caetano Brandao n. 143, Braga 4700-031 Portugal"
Apartamentos Julieta,"Avenida do Tenis no. 29, Albufeira 8200-011 Portugal"
Hotel Amiribatejo,"Rua Doutor Antonio Maria Galhordas No 40, Amiais de Baixo 2025-333 Portugal"
Douro Scala,"R. do PaÃ§o, Cidadelhe 5040-154 Portugal"
Porta 20 Boutique Guesthouse,"Rua Beatriz Machado 20, Leiria 2410-089 Portugal"
New Lisbon Concept Hostel,"Avenida da Liberdade 204 3Âº Andar Esq., Lisbon 1250-147 Portugal"
The Vine House - Quinta SÃ£o Luiz,"En 222 Adorigo, Adorigo 5120-012 Portugal"
Parque de Campismo Municipal de Mira,"Avenida da Barrinha Praia de Mira, Mira 3070-792 Portugal"
Luna Parque B&B,"Avenida Antonio Augusto de Aguiar 80, Lisbon 1050-018 Portugal"
Pousada de Juventude de Viseu,"Rua Consul Aristides Sousa Mendes, Viseu 3500-021 Portugal"
Hotel Imperio do Norte,"Rua 5 de Outubro 97, Ponte de Lima 4990-028 Portugal"
Saccharum,"Rua Serra d'Ãgua, 1 Solar D. Manuel I, Calheta, Madeira 9370-087 Portugal"
Penedo da Saudade Suites & Hostel,"Av Dr Marnoco e Sousa, 18 B, Coimbra 3000-271 Portugal"
Vila Gale Nep Kids,"Herdade Da Figueirinha, Beja 7800-730 Portugal"
Maria Mar - Surf & Guest House,"Estrada Nacional 261, Melides, Grandola 7570-610 Portugal"
Macarico Beach Hotel,"Rua Raul Brandao 17, Praia de Mira 3070-815 Portugal"
"Pine Cliffs Ocean Suites, A Luxury Collection Resort & Spa","Praia Da FalÃ©sia, Pinhal Do Concelho Pinhal Do Concelho, Albufeira 8200-593 Portugal"
1e Carvoeiro,"Rua dos Pescadores 13, Carvoeiro 8400-512 Portugal"
1908 Lisboa Hotel,"Largo do Intendente Pina Manique 6, Lisbon 1100-285 Portugal"
