name,location
HF Tuela Porto,"Rua Arquiteto Marques da Silva 200, Porto 4150-483 Portugal"
Stay Hotel GuimarÃ£es Centro,"Avenida Dom Joao IV 631, Guimaraes 4810-532 Portugal"
Casa Monreal,"Rua de MoÃ§ambique 28, Reguengos de Monsaraz 7200-351 Portugal"
Villa Alzira,"R. De Sao Sebastiao, Sandomil, Seia 6270-174 Portugal"
Omassim Guesthouse,"Rua Palhais NÂº 24 - blue house Rua Palhais NÂº 17 - Pink House, Ericeira, Mafra 2640-068 Portugal"
Hotel Neptuno,"Rua do Norte 5, Atouguia da Baleia, Peniche 2525-322 Portugal"
Zmar Eco Experience,"Herdade A-de-Mateus Longueira-Almograve, Odemira 7630-011 Portugal"
Ap Lago Montargil Conference & Spa,"Estrada Nacional 2 Km 459, Montargil 7425-144 Portugal"
Almadina Smart Luxury,"Rua do Almada 353, Porto 4050-038 Portugal"
Quinta da Vila,"Lugar da Vila - Alvarenga, Arouca 4540-053 Portugal"
Dear Porto Guest House,"Rua de Santa Catarina, 744, Porto 4000-446 Portugal"
Casa Das Penhas Douradas,"Estr. Florestal De SÃ£o SebastiÃ£o Apartado 9, Manteigas 6260-200 Portugal"
"Marriott Residences Salgados Resort, Algarve","Herdade Dos Salgados, Guia, Guia, Albufeira 8200-424 Portugal"
Farm of Dreams,"Caminho do Lavaginho, Loule 8135-999 Portugal"
Rm The Hotel  Experience,"Av. LuÃ­sa Todi 59 Rua Padre Joaquim Silvestre SerrÃ£o N.Âº8, Setubal 2900-424 Portugal"
Axis Viana Business & SPA Hotel,"Avenida Capitao Gaspar de Castro, Viana do Castelo 4900-462 Portugal"
L'AND Vineyards,"Estrada Nacional 4 Herdade das Valadas, Montemor-o-Novo 7050-031 Portugal"
Hotel Monte Lirio,"Rua Dos Limites No 550, Espinho 4500-069 Portugal"
West Cliffs,"Estrada Do Rio Cortico 4, Obidos 2510-215 Portugal"
Living Lounge Hostel,"Rua do Crucifixo 116, Lisbon 1100-185 Portugal"
"Real Abadia, Congress & Spa Hotel","Rua da Escola, Alcobaca 2460-492 Portugal"
Outros Tempos - Turismo de Aldeia,"Largo Do Marradoiro Nr 12 ArÃ­cera - Armamar - Douro Vinhateiro, Aricera, Armamar 5110-051 Portugal"
Magnolia Porto Hostel,"Avenida Rodrigues de Freitas 387, Porto 4000-422 Portugal"
Agua Hotels Mondim De Basto,"Monte da Paradela, Mondim de Basto 4880-162 Portugal"
Quinta Da Terca - Hotel Only,"Rua Padre Domingos da Silva Costa Livramento, Ponta Delgada, SÃ£o Miguel 9500-614 Portugal"
Nomad Planet,"Rua Do Forno NÂ° 20, Fiaes do Rio 5470-151 Portugal"
Wine & Books Hotels | Porto,"Rua de JosÃ© FalcÃ£o 39-41, Porto 4050-526 Portugal"
Burgus Tribute & Design Hotel,"Rua Dom Afonso Henriques, n.Âº 20 a 28, Braga 4700-030 Portugal"
Hotel do Carmo,"Travessa Rego 10, Funchal, Madeira 9050-018 Portugal"
Cathedral Design Apartments,"Rua Sao Sebastiao 31, Porto 4050-568 Portugal"
Casas do Teatro,"Rua Porta do Sol 20, Porto 4000-392 Portugal"
Taah Billa - Guest House,"Rua Jose Pires Padinha, No 44, Tavira 8800-354 Portugal"
Casa da Urra,"Rua do Bairro 1Âº de Maio Herdade do Carvalhal, Urra Portugal"
Mountain Whisper,"R. Budas Largo do LeÃ£o, Gondramaz, Miranda do Corvo 3220-533 Portugal"
Vila Branca by Ãgua Hotels,"Rua Santa Casa da Misericordia, Lagos 8600-315 Portugal"
Quinta do Rio Noemi,"Quinta do NoÃ©me de Cima, Guarda 6300-776 Portugal"
Hotels 705 Porto Prime Home,"R. de Faria GuimarÃ£es 515, Porto 4000-207 Portugal"
Alfagar Aparthotel,"Estrada de Santa EulÃ¡lia, Albufeira 8200-912 Portugal"
Studios By Aqua Natura Hotels,"Rua Do Lugar, 1, Porto Moniz, Madeira 9270-156 Portugal"
Santa Maria Hostel,"Rua Santa Maria 145, Funchal, Madeira 9060-291 Portugal"
Residence Lagos,"Rua dos Peixeiros 4, Lagos 8600-728 Portugal"
Casa Mae,"Rua do Jogo da Bola 41, Lagos 8600-712 Portugal"
Hotel Solar de Alqueva,"Rua de Sao Marcos do Campo 22-A, Reguengos de Monsaraz 7200-377 Portugal"
Casa do Terreiro do Poco,"Largo Combatentes da Grande Guerra 12, Borba 7150-152 Portugal"
Assumar Country House,"Rua De CabeÃ§o De Vide 17, Assumar 7450-023 Portugal"
Hotel Moon & Sun Porto,"70 Sa de Noronha Street Union of Parishes of the Center, Porto 4050-190 Portugal"
Pestana Alvor South Beach Premium Suite Hotel,"Praceta do Barinel 1, Alvor, Portimao 8500-088 Portugal"
Atlantic Home Azores,"Avenida Infante D. Henrique Centro Comercial Solmar - Torre nascente 20.Âº Direito, Ponta Delgada, SÃ£o Miguel 9500-150 Portugal"
Quinta Almargem Lusitano - Farm House,"Sitio do Almargem, Tavira 8800-053 Portugal"
Quinta EcolÃ³gica Da Peneda,"Outeiro Cx 99, Oliveira 4970-225 Portugal"
Wild View Retreat,"Rua Da Cortica Corgas Bravas, Sao Bras de Alportel 8150-014 Portugal"
Avis Guest House,"Rua Avis 154 Valverde, Evora 7000-574 Portugal"
Montebelo Lisbon Downtown Apartments,"Rua da Prata 156, Lisbon 1100-421 Portugal"
Almaria - Da Corte Apartments,"Rua do Ferragial 11, Lisbon 1200-182 Portugal"
Monica Isabel Beach Club,"Forte De S. Joao, Apartado 2331, Albufeira 8200-325 Portugal"
Le Consulat,"PraÃ§a LuÃ­s de CamÃµes 22, Lisbon 1249-190 Portugal"
Lisbon City Apartments & Suites,"Avenida Almirante Reis 43, Lisbon 1150-010 Portugal"
Ansiturismo & Spa,"Rua Jeronimo Soares Barbosa 34, Anciao 3240-125 Portugal"
Grapes and Bites Hostel,"Rua do Norte 83 10 Andar Bairro Alto, Lisbon 1200-284 Portugal"
Quinta da Saudade,"Caminho do Cansado, Ponte de Sor 7400-605 Portugal"
Azores Surf Center Surf House,"Rua da Praia 2, Ribeira Grande, SÃ£o Miguel 9600-270 Portugal"
Hotel Rural Casa dos Viscondes da Varzea,"Varzea de Abrunhais, Lamego 5100-878 Portugal"
Monte dos Vicentes,"Monte dos Vicentes, Terena 7250-065 Portugal"
3HB Falesia Garden,"Urb. Quinta do Milharo, Olhos de Agua, Albufeira 8200-591 Portugal"
Turista da Trindade,"Rua de Camoes 298, Porto 4000-139 Portugal"
Quinta das Andorinhas,"Quinta das Andorinhas, EN, Carvoeiro 6120-313 Portugal"
Hotel Solar Dos Mascarenhas,"Rua Florbela Espanca 125, Vila Vicosa 7160-283 Portugal"
Charming Blue,"Rua Teofilo Braga 31, Vila do Porto, Santa Maria 9580-535 Portugal"
Quinta Alves de Matos,"Conqueiros N625, Souto da Carpalhosa 2425-825 Portugal"
Rinoterra Minho,"Rua da Costa N. 15 Seixas, Caminha 4910-339 Portugal"
Delfim Douro Hotel,"Quinta do Loureiro, Lamego 5100-758 Portugal"
Rosalma Hostel Porto,"Rua de Santa Catarina 501, Porto 4000-452 Portugal"
Belver Porto Dona Maria Resort,"Aldeamento Porto Dona Maria, Luz 8600-123 Portugal"
Baia da Barca,"Rua Do Carmo Lugar Da Barca, Madalena, Pico 9950-303 Portugal"
Quinta da Praia das Fontes,"Largo Marques de Soidos, Alcochete 2890-032 Portugal"
Lisbon Poets Hostel,"Rua Heliodoro Salgado, Nr 4, Lisbon 1170-176 Portugal"
MH Peniche,"Avenida Monsenhor Manuel Bastos, Peniche 2520-206 Portugal"
America Diamonds Hotel,"Rua Tomas Ribeiro 47, Lisbon 1050-226 Portugal"
Azoris Royal Garden,"Rua De Lisboa, Ponta Delgada, SÃ£o Miguel 9500-216 Portugal"
ClipHotel,"Avenida da Republica 1559, Vila Nova de Gaia 4430-205 Portugal"
Luster Hotel,"Avenida Casal Ribeiro, 48, Lisbon 1000-091 Portugal"
Lisbon RiverView Hostel,"Rua da Conceicao, no107, 4o, Lisbon 1100-153 Portugal"
PortoBay Flores,"Rua das Flores 27, Porto 4050-416 Portugal"
Sunset Destination Hostel,"Cais do Sodre Train Station 1st Floor, Lisbon 1200-161 Portugal"
YOTEL Porto,"Rua GonÃ§alo CristÃ³vÃ£o 206, Porto 4000-265 Portugal"
Vila Baleira Porto Santo,"SÃ­tio do CabeÃ§o da Ponta, Cabeco da Ponta, Porto Santo Island 9400-909 Portugal"
Zen Museu do Bonsai,"Estrada Chao de Meninos 12, Sintra 2710-193 Portugal"
12 Short Term,"Rua Duque Loule 85 SÃ©, Porto 4000-325 Portugal"
Lisbon City Inn Hotel,"Rua Ãlvaro Coutinho, 26, Lisbon 1150-025 Portugal"
Hotel Versatile,"Avenida Monsenhor Mendes do Carmo, Guarda 6300-586 Portugal"
Oca Oriental Porto Hotel,"R. do Padre AntÃ³nio Vieira 83, Porto 4300-031 Portugal"
Conversas De Alpendre,"Estrada de Santa Rita n. 36 Vila Nova de Cacela, Vila Real de Santo Antonio 8900-059 Portugal"
Boutique Hotel Solar Dos Anjos,"PoÃ§a das Adegas, 147, Vieira do Minho 4850-032 Portugal"
Hotel Porto River Infante,"Rua Infante Dom Henrique 36, Porto 4050-296 Portugal"
House of Wonders Bed & Breakfast,"Avenida da Argentina 29, Cascais 2750-296 Portugal"
The Passenger Hostel,"Praca Almeida Garrett Estacao de Sao Bento, UniÃ£o de Freguesias do Centro, Porto 4000-069 Portugal"
Quinta das Lavandas,"Sitio de Vale Dornas, Castelo de Vide Portugal"
Antillia Hotel,"Rua do NegrÃ£o, 31, Ponta Delgada, SÃ£o Miguel 9500-334 Portugal"
Almada 234,"Rua Do Almada 234, 4050-007 Portugal"
Miragaia House,"Rua de Miragaia 118, Porto 4050-387 Portugal"
