hotel_name,year_int,sentiment_score
1908 Lisboa Hotel,2017,4.346153846153846
1908 Lisboa Hotel,2018,4.475
1908 Lisboa Hotel,2019,4.724409448818897
1908 Lisboa Hotel,2020,4.607142857142857
1908 Lisboa Hotel,2021,4.7
1908 Lisboa Hotel,2022,4.714285714285714
1908 Lisboa Hotel,2023,4.696428571428571
1908 Lisboa Hotel,2024,4.694444444444445
1908 Lisboa Hotel,2025,4.784313725490196
1e Carvoeiro,2009,5.0
1e Carvoeiro,2010,5.0
1e Carvoeiro,2011,4.0
1e Carvoeiro,2012,3.6666666666666665
1e Carvoeiro,2013,4.2727272727272725
1e Carvoeiro,2014,4.4
1e Carvoeiro,2015,4.181818181818182
1e Carvoeiro,2016,4.0
1e Carvoeiro,2017,4.1
1e Carvoeiro,2018,4.190476190476191
1e Carvoeiro,2019,3.9444444444444446
1e Carvoeiro,2020,4.5
1e Carvoeiro,2021,4.8
1e Carvoeiro,2022,4.166666666666667
1e Carvoeiro,2023,4.6
1e Carvoeiro,2024,3.8
1e Carvoeiro,2025,4.4
7 Cidades Lake Lodge,2016,4.416666666666667
7 Cidades Lake Lodge,2017,4.8
7 Cidades Lake Lodge,2018,5.0
7 Cidades Lake Lodge,2019,4.5
7 Cidades Lake Lodge,2022,4.333333333333333
7 Cidades Lake Lodge,2023,4.0
7 Cidades Lake Lodge,2024,4.0
A Casa Formosa,2011,5.0
A Casa Formosa,2012,4.357142857142857
A Casa Formosa,2013,4.684210526315789
A Casa Formosa,2014,4.0
Algarve Surf Hostel - Lagos,2011,4.666666666666667
Algarve Surf Hostel - Lagos,2012,4.628571428571429
Algarve Surf Hostel - Lagos,2013,4.864864864864865
Algarve Surf Hostel - Lagos,2014,4.771929824561403
Algarve Surf Hostel - Lagos,2015,4.825
Algarve Surf Hostel - Lagos,2016,4.705882352941177
Algarve Surf Hostel - Lagos,2017,4.705882352941177
Algarve Surf Hostel - Lagos,2018,4.870967741935484
Algarve Surf Hostel - Lagos,2019,4.95
Algarve Surf Hostel - Lagos,2020,4.923076923076923
Algarve Surf Hostel - Lagos,2025,4.0
Altis Bel̩m Hotel & Spa,2009,5.0
Altis Bel̩m Hotel & Spa,2010,4.05
Altis Bel̩m Hotel & Spa,2011,4.32
Altis Bel̩m Hotel & Spa,2012,4.340909090909091
Altis Bel̩m Hotel & Spa,2013,4.267857142857143
Altis Bel̩m Hotel & Spa,2014,4.178571428571429
Altis Bel̩m Hotel & Spa,2015,4.408163265306122
Altis Bel̩m Hotel & Spa,2016,4.384615384615385
Altis Bel̩m Hotel & Spa,2017,4.444444444444445
Altis Bel̩m Hotel & Spa,2018,4.222222222222222
Altis Bel̩m Hotel & Spa,2019,4.483516483516484
Altis Bel̩m Hotel & Spa,2020,4.193548387096774
Altis Bel̩m Hotel & Spa,2021,4.666666666666667
Altis Bel̩m Hotel & Spa,2022,4.55
Altis Bel̩m Hotel & Spa,2023,4.448275862068965
Altis Bel̩m Hotel & Spa,2024,4.666666666666667
Altis Bel̩m Hotel & Spa,2025,4.555555555555555
Apartamentos Bellevue Nr. 1,2007,4.0
Apartamentos Bellevue Nr. 1,2008,5.0
Apartamentos Bellevue Nr. 1,2009,3.75
Apartamentos Bellevue Nr. 1,2010,4.666666666666667
Apartamentos Bellevue Nr. 1,2011,4.625
Apartamentos Bellevue Nr. 1,2012,4.5
Apartamentos Bellevue Nr. 1,2013,4.217391304347826
Apartamentos Bellevue Nr. 1,2014,4.476190476190476
Apartamentos Bellevue Nr. 1,2015,4.419354838709677
Apartamentos Bellevue Nr. 1,2016,4.361111111111111
Apartamentos Bellevue Nr. 1,2017,4.875
Apartamentos Bellevue Nr. 1,2018,4.416666666666667
Apartamentos Bellevue Nr. 1,2019,4.8
Apartamentos Bellevue Nr. 1,2020,5.0
Apartamentos Bellevue Nr. 1,2021,3.6666666666666665
Apartamentos Bellevue Nr. 1,2022,5.0
Apartamentos Bellevue Nr. 1,2023,5.0
Apartamentos Bellevue Nr. 1,2024,3.0
Apartamentos Bellevue Nr. 1,2025,3.6666666666666665
Aparthotel Porto Historico,2014,5.0
Aparthotel Porto Historico,2018,4.0
Aparthotel Porto Historico,2022,4.0
Aparthotel Porto Historico,2023,5.0
Artbeat Rooms,2010,4.0
Artbeat Rooms,2011,4.75
Artbeat Rooms,2012,4.666666666666667
Artbeat Rooms,2013,4.833333333333333
Artbeat Rooms,2014,4.5
Artbeat Rooms,2015,4.625
Artbeat Rooms,2016,4.785714285714286
Artbeat Rooms,2017,4.666666666666667
Artbeat Rooms,2018,4.6
Artbeat Rooms,2019,4.333333333333333
Artbeat Rooms,2020,5.0
BJB Alojamentos,2016,4.5
BJB Alojamentos,2017,4.5
BJB Alojamentos,2018,4.333333333333333
BJB Alojamentos,2019,5.0
Belmar Spa & Beach Resort,2011,4.0
Belmar Spa & Beach Resort,2012,4.06
Belmar Spa & Beach Resort,2013,4.246753246753247
