name,location,Latitude,Longitude,OpenCage Note
Lisboa Prata Boutique Hotel,"Rua da Prata 116, Lisbon 1100-420 Portugal",38.708835,-9.136099,ok
Pestana Quinta Perestrello,"Rua Dr. Pita, 3 SÃ£o Martinho, Funchal, Madeira 9000-089 Portugal",32.6472,-16.9131,ok
Hotel Balaia Senses,"Caminho Da Semina, Albufeira 8200-393 Portugal",37.100555,-8.2125322,ok
Hotel Cascais Miragem Health & Spa,"Av. Marginal, 8554, Cascais 2754-536 Portugal",38.7027423,-9.410876,ok
Belas Artes Apartments,"Avenida Rodrigues de Freitas 298, Porto 4000-418 Portugal",41.145412,-8.6038237,ok
Dom Joao III,"Avenida Dom Joao III 1B, Ponta Delgada, Flores 9500-310 Portugal",,,ok
Hotel-Apartamentos Dunamar,"Avenida Infante Dom Henrique, Monte Gordo 8900-413 Portugal",37.1792205,-7.4506348,ok
Casa da Padaria,"Rua CÃ³nego Manuel Fernandes Nogueira, Piodao, Arganil 6285-018 Portugal",40.5833,-7.475,ok
Deluxe Surfhouse Algarve â€“ Surfcamp Portugal,"Vivenda Telhado Verde Cama da Vaca, Lagos 8600-104 Portugal",37.0917,-8.7667,ok
Casa Do,"Rua Grande No. 41, Mina da Juliana 7800-731 Portugal",37.9081953,-8.0465671,ok
Descobertas Boutique Hotel By,"Rua Fonte Taurina 14-22, Porto 4050-269 Portugal",41.1405729,-8.6138097,ok
Casa da Portela de,"Sampriz s/n, Ponte da Barca 4980-722 Portugal",41.7862876,-8.3880126,ok
Sao Paulo Boutique,"PraÃ§a Doutor AntÃ³nio Padinha nÂº 22, Tavira 8800-637 Portugal",37.1917,-7.8089,ok
Mareta View Boutique Bed & Breakfast,"Beco Dom Henrique, Sagres 8650-327 Portugal",37.0825,-8.8019,ok
Quinta Pedras de Baixo,"Rua de Santa Marta, nÂº 3262, Estrada M585, Braga 4805-209 Portugal",41.55032,-8.42005,ok
Shining View,"Rua das Taipas 11, Porto 4050-599 Portugal",41.1441821,-8.6168114,ok
M Maison Particuliere Porto,"Largo Sao Domingos 66, Porto 4050-545 Portugal",41.1433507,-8.6147169,ok
