name,location,Latitude,Longitude,OpenCage Note
Parador Casa Da Insua,"Tv. do Penedo, Penalva do Castelo 3550-126 Portugal",40.7405,-7.7286,ok
Vila Gale Lagos,"Rua Sophia De Melo Brayner Andresen Meia Praia, Lagos 8600-295 Portugal",37.10202,-8.67422,ok
Casa Aldeia da Lapa,"Avenida Padre Francisco Pinto Ferreira (EM584), Sernancelhe 3640-170 Portugal",40.9333,-7.55,ok
Patio das Andorinhas,"Rua 25 de Abril 5, Ferreira do Alentejo 7900-574 Portugal",38.0922707,-8.0468359,ok
Placid Village,"Sitio Dos Moinhos - Rua Guin̩, Carvoeiro 8400-998 Portugal",37.1,-8.4667,ok
Dare Lisbon River,"Travessa de Ṣo Paulo, 5, Lisbon 1200-431 Portugal",38.7167,-9.1333,ok
Pousada Forte da Horta,"Rua Vasco da Gama, Horta, Faial Island 9900-017 Portugal",38.57736,-28.69994,ok
Eira do Serrado Hotel & SPA,"Curral das Freiras, Funchal, Madeira 9000-421 Portugal",32.7155971,-16.9563125,ok
Hotel Farol,"Avenida Ferṇo Magalḥes Largo do Farol - Praia da Barra, Ilhavo 3830-753 Portugal",40.64025,-8.74573,ok
Vila Gal̩ Collection Monte Do Vilar,"Herdade da Figueirinha, Beja 7800-730 Portugal",37.9481566,-8.0096456,ok
TheVagar Countryhouse,"Estrada Nacional 345, n 52 - 54 Serra da Esperan̤a, Belmonte 6250-092 Portugal",40.3593,-7.34869,ok
