name,location,Latitude,Longitude,OpenCage Note
HF Tuela Porto,"Rua Arquiteto Marques da Silva 200, Porto 4150-483 Portugal",41.1547,-8.6306,ok
Stay Hotel GuimarÃ£es Centro,"Avenida Dom Joao IV 631, Guimaraes 4810-532 Portugal",41.4356823,-8.2921326,ok
Casa Monreal,"Rua de MoÃ§ambique 28, Reguengos de Monsaraz 7200-351 Portugal",38.3973,-7.4882,ok
Villa Alzira,"R. De Sao Sebastiao, Sandomil, Seia 6270-174 Portugal",40.4333,-7.7167,ok
Omassim Guesthouse,"Rua Palhais NÂº 24 - blue house Rua Palhais NÂº 17 - Pink House, Ericeira, Mafra 2640-068 Portugal",,,ok
Hotel Neptuno,"Rua do Norte 5, Atouguia da Baleia, Peniche 2525-322 Portugal",39.3248087,-9.3492111,ok
Zmar Eco Experience,"Herdade A-de-Mateus Longueira-Almograve, Odemira 7630-011 Portugal",37.6,-8.7,ok
Ap Lago Montargil Conference & Spa,"Estrada Nacional 2 Km 459, Montargil 7425-144 Portugal",39.077,-7.7776,ok
Almadina Smart Luxury,"Rua do Almada 353, Porto 4050-038 Portugal",41.1501082,-8.6122396,ok
Quinta da Vila,"Lugar da Vila - Alvarenga, Arouca 4540-053 Portugal",40.8917,-8.3,ok
Dear Porto Guest House,"Rua de Santa Catarina, 744, Porto 4000-446 Portugal",41.1526217,-8.6047942,ok
Casa Das Penhas Douradas,"Estr. Florestal De SÃ£o SebastiÃ£o Apartado 9, Manteigas 6260-200 Portugal",40.1959,-7.5039,ok
"Marriott Residences Salgados Resort, Algarve","Herdade Dos Salgados, Guia, Guia, Albufeira 8200-424 Portugal",37.0959223,-8.3227873,ok
Farm of Dreams,"Caminho do Lavaginho, Loule 8135-999 Portugal",37.0833,-8.0333,ok
Rm The Hotel  Experience,"Av. LuÃ­sa Todi 59 Rua Padre Joaquim Silvestre SerrÃ£o N.Âº8, Setubal 2900-424 Portugal",38.5244,-8.8882,ok
Axis Viana Business & SPA Hotel,"Avenida Capitao Gaspar de Castro, Viana do Castelo 4900-462 Portugal",41.7006247,-8.8231169,ok
L'AND Vineyards,"Estrada Nacional 4 Herdade das Valadas, Montemor-o-Novo 7050-031 Portugal",38.64812,-8.21455,ok
Hotel Monte Lirio,"Rua Dos Limites No 550, Espinho 4500-069 Portugal",40.9842552,-8.6276656,ok
West Cliffs,"Estrada Do Rio Cortico 4, Obidos 2510-215 Portugal",39.3333,-9.3,ok
Living Lounge Hostel,"Rua do Crucifixo 116, Lisbon 1100-185 Portugal",38.7110709,-9.1391126,ok
"Real Abadia, Congress & Spa Hotel","Rua da Escola, Alcobaca 2460-492 Portugal",39.5347551,-8.9622132,ok
Outros Tempos - Turismo de Aldeia,"Largo Do Marradoiro Nr 12 ArÃ­cera - Armamar - Douro Vinhateiro, Aricera, Armamar 5110-051 Portugal",41.09801,-7.65665,ok
Magnolia Porto Hostel,"Avenida Rodrigues de Freitas 387, Porto 4000-422 Portugal",41.1455802,-8.6025926,ok
Agua Hotels Mondim De Basto,"Monte da Paradela, Mondim de Basto 4880-162 Portugal",41.7,-7.475,ok
Quinta Da Terca - Hotel Only,"Rua Padre Domingos da Silva Costa Livramento, Ponta Delgada, SÃ£o Miguel 9500-614 Portugal",37.7537886,-25.6071241,ok
