name,location,Latitude,Longitude,OpenCage Note
Casa da Baia,"Rua Vasco da Gama No. 20, Horta, Faial Island 9900-017 Portugal",38.57736,-28.69994,ok
Holiday Inn Express Lisbon - Ave. Liberdade By IHG,"Rua Alexandre Herculano, No. 40 No. 40, Lisbon 1250-011 Portugal",38.7203227,-9.1540289,ok
bnapartments Carregal,"Travessa do Carregal 87, Porto 4050-167 Portugal",41.1488076,-8.6178258,ok
Convent Square Lisbon Vignette Collection by IHG,"Rua Dom AntÃ£o De Almada, 4, Lisbon 1100-373 Portugal",38.7167,-9.1333,ok
Casas de Juromenha,"Ribeira de Mures, Juromenha, Alandroal 7250-242 Portugal",38.7,-7.4,ok
Casas de Campo da Barroca,"Rua de Santa Cruz Tabosa do Carregal, Sernancelhe 3640-230 Portugal",40.9042,-7.5125,ok
Sun Lovers Hostel,"Rua Movimento Das Forcas Armadas 71, Albufeira 8200-019 Portugal",37.0909174,-8.2485718,ok
SÃ£o FÃ©lix Hotel Hillside and Nature,"R. de SÃ£o FÃ©lix 1125 Laundos, Povoa de Varzim 4570-345 Portugal",41.43662,-8.72191,ok
Ventozelo Hotel & Quinta,"Quinta de Ventozelo, Ervedosa do Douro 5130-077 Portugal",41.1742694,-7.5174769,ok
My Story Hotel Ouro,"Rua Aurea 100, Lisbon 1100-063 Portugal",38.7099441,-9.1381926,ok
FLH Hotels Urbano,"Rua da Madalena 42 Santa Maria Maior, Lisbon 1100-321 Portugal",38.7089892,-9.1347263,ok
Cerca do Sul,"Cabeco de Arveola BrejÃ£o, Sao Teotonio, Odemira 7630-569 Portugal",38.2,-7.75,ok
Quinta M,"Casal Da Avo - Varzea de Baixo Casevel-Str, Santarem 2000-451 Portugal",39.23333,-8.68333,ok
Vale d'Azenha Hotel Rural & Residences,"Rua da Barrada 39, Cela, Alcobaca 2460-342 Portugal",39.5167,-9.0333,ok
Quinta da MÃ³,"Rua da Agua Quente 66 SÃ£o Miguel, AÃ§ores, Furnas, PovoaÃ§Ã£o, SÃ£o Miguel 9675-040 Portugal",,,ok
Stay Inn Lisbon Hostel,"Rua Luz Soriano 19 1st Floor, Lisbon 1200-246 Portugal",38.7112659,-9.1459416,ok
Loule Jardim Hotel,"PraÃ§a Manuel de Arriaga, Loule 8100-665 Portugal",37.2346,-8.0737,ok
Tonel Apartaments,"Rua do Tonel, Sagres 8650-376 Portugal",37.0089651,-8.9453447,ok
Pateo Saudade Lofts,"Rua do Crucifixo 31 Santa Maria Maior, Lisbon 1100-182 Portugal",38.7097808,-9.1387269,ok
Quinta do Bom Vento,"Rua Vale da Caniceira 99, Bom Vento, Obidos 2510-772 Portugal",39.62,-8.8492,ok
Blue Boutique Hostel & Suites,"Avenida Marginal 6538, Estoril, Cascais 2765-586 Portugal",38.7024097,-9.3897297,ok
Casa do Godinho,"Rua do Godinho 222, Matosinhos 4450-146 Portugal",41.1809393,-8.6936748,ok
"Onyria Marinha Cascais, Vignette Collection by IHG","Rua do Clube 1 Quinta Da Marinha, Cascais 2750-002 Portugal",38.7030769,-9.4580233,ok
Hotel Eira Da Pedra,"Rua das Pensoes, Vila Nova de Milfontes 7645-291 Portugal",37.75,-8.7667,ok
We Love F. Tourists - Hostel,"Rua dos Fanqueiros 267, Lisbon 1100-230 Portugal",38.7131174,-9.1370301,ok
Portugal By Horse,"Regada Quinta da Alegria, Midoes, Tabua 3420-136 Portugal",40.3833,-7.95,ok
Casa De Casal De Loivos,"Cabo Da Rua, Casal de Loivos 5085-010 Portugal",41.2,-7.5333,ok
Vinha da Manta,"Quinta Do Barata, Guarda 6300-095 Portugal",40.5448,-7.2042,ok
Melia Braga,"Av. General Carrilho Da Silva Pinto  8, Braga 4715-380 Portugal",41.5566994,-8.3956254,ok
Hotel Sol Algarve by Kavia,"Rua Infante Dom Henrique 52, Faro 8000-363 Portugal",37.0191577,-7.9372656,ok
Monte do Serrado de Baixo,"Quinta do Serrado, Senhor dos Aflitos, Evora 7000-173 Portugal",38.7,-7.7833,ok
Quinta da Portela Douro,"Quinta da Portela Douro 123, CM1099, Armamar 5110-662 Portugal",41.0778,-7.7043,ok
Casas da Baixa - Lighthouse Apartments,"Rua da Padaria 9, Lisbon 1100-388 Portugal",38.7093582,-9.1345851,ok
Watermark Surf House,"Rua 29 71, Espinho 4500-007 Portugal",41.0053813,-8.6450664,ok
Pestana Palace Lisboa,"Rua Jau 54, Lisbon 1300-314 Portugal",38.7037251,-9.1867227,ok
Surfivor Porto Surf Hostel,"Avenida do Brasil 816, Porto 4150-154 Portugal",41.158978,-8.6832737,ok
O Pomar In Cabanas By Wave Algarve,"Rua Charles Bonnet 6 Edificio 3.3 - 102, Cabanas, Tavira 8800-596 Portugal",37.13589,-7.60125,ok
Mercedes Country House,"Lugar do Medronhal 475-Z, Faro 8005-502 Portugal",37.1343,-8.0704,ok
Quinta da Nave do Lobo,"Quinta da Nave do Lobo Alvarroes, Marvao 7330-236 Portugal",39.3692274,-7.4138338,ok
Trendy and Luxe Bed & Breakfast,"Caixa Postal, 67, Ferreira do Alentejo 7900-112 Portugal",37.9939257,-8.2002841,ok
Calheta Boutique Houses Adults Only,"Rua Dr. Rocha De Gouveia 48, Arco da Calheta, Calheta, Madeira 9370-075 Portugal",32.7174468,-17.1490657,ok
Pensao Praca da Figueira,"Travessa Nova de Sao Domingos 9 2 PraÃ§a da Figueira - Baixa, Lisbon 1100-372 Portugal",38.71667,-9.13333,ok
Quinta da Luz - A Luxury Boutique B&B,"Santo Estevao, Silves 8300-047 Portugal",37.2206578,-8.3785129,ok
Fortaleza do Guincho Relais & ChÃ¢teaux,"Estrada do Guincho, Cascais 2750-642 Portugal",38.7308813,-9.4686738,ok
Casa Da Noquinhas,"36 Rua dos Passadouros, Bunheiro 3870-028 Portugal",40.7751848,-8.634787,ok
Hostel Namaste,"Largo Doutor Manuel Alves Branco 12, Evora 7000-649 Portugal",38.7,-7.7833,ok
Palmares Beach House Hotel,"Campo de Golfe de Palmares, Odiaxere, Lagos 8600-250 Portugal",37.1667,-8.4,ok
Quinta de Casaldronho Wine Hotel,"EN 313 - Valdigem, Lamego 5100-026 Portugal",41.1388957,-7.7638184,ok
Dreams Madeira Resort Spa & Marina,"Marina da Quinta Grande Sitio da Piedade, Canical, Madeira 9200-044 Portugal",32.73834,-16.73836,ok
Hotel SÃ£o Jose,"Av. D. Jose Alves Correia da Silva 140, Fatima 2495-402 Portugal",39.6309488,-8.6790557,ok
