name,location,Latitude,Longitude,OpenCage Note
Casa da Madalena Backpackers Hostel,"Travessa da Madalena 10, Faro 8000-461 Portugal",37.0175325,-7.9367946,ok
Vila Petra,"Rua Mouzinho de Albuquerque Areias de SÃ£o JoÃ£o, Albufeira 8200-356 Portugal",37.08819,-8.2503,ok
Aqualuz Lagos By The Editory,"Rua Sacadura Cabral 8, Lagos 8600-619 Portugal",37.1286,-8.6595,ok
Hotel Regua Douro,"Largo da Estacao, Peso Da Regua 5050-237 Portugal",41.1585289,-7.7839685,ok
Porto River Aparthotel,"Rua dos Canastreiros, 50, Porto 4050-149 Portugal",41.1406136,-8.612517,ok
Upon Angels,"Rua Dos Anjos, 10, Lisbon 1150-036 Portugal",38.7028999,-9.2302426,ok
Old City Guest House,"Rua Dom Frei Caetano Brandao n. 143, Braga 4700-031 Portugal",41.5491545,-8.4284473,ok
Apartamentos Julieta,"Avenida do Tenis no. 29, Albufeira 8200-011 Portugal",37.0867328,-8.2571512,ok
Hotel Amiribatejo,"Rua Doutor Antonio Maria Galhordas No 40, Amiais de Baixo 2025-333 Portugal",39.4444573,-8.7274802,ok
Douro Scala,"R. do PaÃ§o, Cidadelhe 5040-154 Portugal",41.38,-7.8617,ok
Porta 20 Boutique Guesthouse,"Rua Beatriz Machado 20, Leiria 2410-089 Portugal",39.7413062,-8.8040929,ok
New Lisbon Concept Hostel,"Avenida da Liberdade 204 3Âº Andar Esq., Lisbon 1250-147 Portugal",38.7217877,-9.1462019,ok
The Vine House - Quinta SÃ£o Luiz,"En 222 Adorigo, Adorigo 5120-012 Portugal",41.1590837,-7.6117801,ok
Parque de Campismo Municipal de Mira,"Avenida da Barrinha Praia de Mira, Mira 3070-792 Portugal",40.4481819,-8.8004622,ok
Luna Parque B&B,"Avenida Antonio Augusto de Aguiar 80, Lisbon 1050-018 Portugal",38.7314485,-9.1513648,ok
Pousada de Juventude de Viseu,"Rua Consul Aristides Sousa Mendes, Viseu 3500-021 Portugal",40.6604014,-7.9039609,ok
Hotel Imperio do Norte,"Rua 5 de Outubro 97, Ponte de Lima 4990-028 Portugal",41.9165,-8.5299,ok
Saccharum,"Rua Serra d'Ãgua, 1 Solar D. Manuel I, Calheta, Madeira 9370-087 Portugal",32.7172553,-17.1679051,ok
Penedo da Saudade Suites & Hostel,"Av Dr Marnoco e Sousa, 18 B, Coimbra 3000-271 Portugal",40.2639,-8.5891,ok
Vila Gale Nep Kids,"Herdade Da Figueirinha, Beja 7800-730 Portugal",37.9481566,-8.0096456,ok
Maria Mar - Surf & Guest House,"Estrada Nacional 261, Melides, Grandola 7570-610 Portugal",38.0033,-8.6033,ok
Macarico Beach Hotel,"Rua Raul Brandao 17, Praia de Mira 3070-815 Portugal",40.4546684,-8.802926,ok
"Pine Cliffs Ocean Suites, A Luxury Collection Resort & Spa","Praia Da FalÃ©sia, Pinhal Do Concelho Pinhal Do Concelho, Albufeira 8200-593 Portugal",37.08819,-8.2503,ok
