name,location,Latitude,Longitude,OpenCage Note
Rr Club Amarilis,"Av. das Comunidades LusÃ­adas, Praia da Rocha, Portimao 8500-801 Portugal",37.1446,-8.5479,ok
Santa Bica - Eat Drink & Sleep,"Travessa do Cabral No. 37, Lisbon 1200-074 Portugal",38.709405,-9.1463407,ok
Hotel A Ponte,"Rua do Poco do Pescadouro n 32, Viana do Castelo 4900-782 Portugal",41.69323,-8.83287,ok
Quinta da Rabacosa,"Quinta da Rabacosa Moes Castro Daire, Castro Daire 3600-430 Portugal",40.879922,-7.8668113,ok
NH Collection Lisboa Liberdade,"Avenida da Liberdade 180 B Old Baixa, Lisbon 1250-146 Portugal",38.7203393,-9.1446604,ok
Hotel Real Parque,"Avenida Luis Bivar 67, Lisbon 1069-146 Portugal",38.7334266,-9.1503207,ok
Hotel Anjo Azul,"Rua Luz Soriano 75, Lisbon 1200-246 Portugal",38.7126598,-9.1458798,ok
Hotel Segredos De Vale Manso,"Rua Do Vale Manso S/N Albufeira de Castelo do Bode, Aldeia do Mato 2200-648 Portugal",,,ok
Storytellers Palace,"Rua Capitao Jaime Pinto 6, Sao Martinho do Porto, Alcobaca 2460-638 Portugal",39.5121183,-9.1355583,ok
Montebelo Vista Alegre Ilhavo Hotel,"Lugar da Vista Alegre, Ilhavo 3830-292 Portugal",40.5893764,-8.6826535,ok
HD - DuecitÃ¢nia Design Hotel,"Quinta da Fabrica Ponte do Espinhal, Penela 3230-292 Portugal",40.2208,-8.4542,ok
The Lince Azores Great Hotel,"Avenida Dom JoÃ£o III 29, Ponta Delgada, SÃ£o Miguel 9500-310 Portugal",39.6945,-8.13057,ok
Vila GalÃ© Collection PalÃ¡cio dos Arcos,"Largo Conde das AlcÃ¡Ã§ovas, 3, Paco de Arcos, Oeiras 2770-031 Portugal",38.69569,-9.29143,ok
Casa da Pousada,"Travessa da Fonte da Cal 33 Roriz - Barcelos, Barcelos 4750-659 Portugal",41.4833,-8.2667,ok
Sintra 1012 Boutique Guest House,"Rua Gil Vicente 10-12, Sintra 2710-568 Portugal",38.7963018,-9.3918468,ok
Cerro da Marina Hotel,"Rua do Cerro Grande, Albufeira 8200-108 Portugal",37.0841992,-8.2609706,ok
Herdade Dos Grous,Albernoa 7800-601 Portugal,37.859688,-7.9595242,ok
Montebelo PalÃ¡cio dos Melos Viseu Historic Hotel,"Rua Chao do Mestre No 4, Viseu 3500-103 Portugal",40.6586946,-7.9126489,ok
Chill In Ericeira Surfhouse,"Rua Bairro Joao David Soares, Ericeira, Mafra 2655-293 Portugal",38.9570071,-9.4138995,ok
Estalagem Muchaxo Hotel,"Avenida Nossa Senhora do Cabo 2477 Praia do Guincho, Cascais 2750-642 Portugal",38.6958479,-9.4418324,ok
Villa Prime Hotel,"Rua Barao da Trovisqueira 338, Vila Nova de Famalicao 4760-126 Portugal",41.4057117,-8.5260483,ok
Rossio Plaza Hotel,"Rua Aurea, 266, Lisbon 1100-581 Portugal",38.7124017,-9.1391514,ok
Hapimag Resort Albufeira,"Rua da Torre Velha Praia do Castelo, Apartado 2341, Albufeira 8200-385 Portugal",37.08819,-8.2503,ok
Porto Persona Guest House,"Rua Quinze de Novembro, 89, Porto 4100-421 Portugal",41.15,-8.6167,ok
Casa do Nato - Turismo Rural,"Rua do Moreno 130, Carreco 4900-278 Portugal",41.7461851,-8.8618302,ok
Flor Do Douro,"Rua do Mercado 7, Miranda do Douro 5210-210 Portugal",41.5333,-6.2333,ok
InPatio Guest House,"Patio Sao Salvador 22, Porto 4050-567 Portugal",41.1420885,-8.6140606,ok
Casa dos Guindais,"Rua de Arnaldo Gama 72, Porto 4000-099 Portugal",41.1422248,-8.6084419,ok
Hotel Sintra Jardim,"Travessa dos Avelares 12 Sao Pedro de Sintra, Sintra 2710-506 Portugal",38.80097,-9.37826,ok
Sail Hostel,"Bairro dos Ratolas 10, Ferrel, Peniche 2520-102 Portugal",39.3667,-9.35,ok
Gaspar House,"Praca Francisco Sa Carneiro 5 5th Floor, Lisbon 1000-159 Portugal",38.7424149,-9.1339645,ok
Herdade da ChaminÃ©,"IP2 - Km 205.4, Monforte 7450-160 Portugal",39.1333,-7.3833,ok
Estalagem Do Mar,"Avenida Marcos Marques Rosa, 25, Sao Vicente, Madeira 9240-210 Portugal",32.79673,-17.04323,ok
"Heritage Avenida Liberdade, a Lisbon Heritage Collection","Avenida Da Liberdade, 28, Lisbon 1250-145 Portugal",38.717709,-9.1425845,ok
Quinta De Santo Antonio - Country House & Villas,"Rua de Santo AntÃ³nio, 81, Torrao 4575-328 Portugal",41.2533,-8.3933,ok
Villa C Boutique Hotel,"Avenida Mouzinho de Albuquerque s/n Estrada Nacional 13, Vila do Conde 4480-151 Portugal",41.35481,-8.7434,ok
Casa Manuel Espregueira e Oliveira,"Rua Manuel Espregueira 190, Viana do Castelo 4900-318 Portugal",41.6920138,-8.8320093,ok
Hotel Zodiaco,"Estrada Nacional 527 - Fonte Nova Estrada da Fonte Santa, Quarteira 8125-618 Portugal",37.06946,-8.10064,ok
Natura  Maris Dunas Residence,"Avenida da Praia, Almograve, Odemira 7630-017 Portugal",37.6525519,-8.7964916,ok
Wot Lisbon Patio,"Rua Tomas Ribeiro 8, Lisbon 1050-229 Portugal",38.7315104,-9.1479927,ok
Coimbra Vintage Lofts,"Rua Simao de Evora 11, Coimbra 3000-386 Portugal",40.2099584,-8.4311321,ok
Hotel Quinta do Campo,"Rua Carlos O'Neill 20 Valado dos Frades, Nazare 2451-909 Portugal",39.58432,-9.0229,ok
Casa da Pendoa,"Rua da Pendoa 17-19, Sintra 2710-610 Portugal",38.7972541,-9.3916989,ok
Hotel FeelViana,"Rua BrÃ¡s de Abreu Soares 222, Viana do Castelo 4935-159 Portugal",41.69323,-8.83287,ok
5Âª Vigia Hostel Boutique,"Rua da Boavista 5 Junto Ao Parque Verde, Porto de Mos 2480-330 Portugal",39.5988944,-8.8225065,ok
Alquimia Guest House,"Rua Engenheiro Jose Ulrich 13, Cascais 2750-629 Portugal",38.7088967,-9.4186515,ok
Hostel Gaia Porto,"Rua CÃ¢ndido dos Reis N 374 376, Vila Nova de Gaia 4400-070 Portugal",41.13363,-8.61742,ok
Charm Apartments Porto,"Rua Flores 36 Downtown Historical Center, Porto 4050-262 Portugal",41.15,-8.6167,ok
