name,location,Latitude,Longitude,OpenCage Note
Quinta do Vale do Monte,"Avenida do Santoinho, Viana do Castelo 4935-176 Portugal",41.825,-8.7208,ok
Jupiter Albufeira Hotel - Family & Fun,"Rua Alexandre O'Neil, Albufeira 8200-343 Portugal",37.1002,-8.2283,ok
Horta da Vila,Alvito 7920-201 Portugal,38.241984,-7.9933335,ok
Quinta Nova Winery House - Relais & Châteaux,Covas do Douro 5085-222 Portugal,41.162043,-7.594933,ok
Dona Filipa Hotel Vale Do Lobo,"Vale Do Lobo, Vale do Lobo, Loule 8135-034 Portugal",37.0497532,-8.0651992,ok
Hilton Garden Inn Évora,"Travessa João Rosa, Evora 7005-413 Portugal",38.5649153,-7.909214,ok
Lisbon Destination Hostel,"Largo do Duque de Cadaval 17 Rossio Train Station, Lisbon 1200-160 Portugal",38.71667,-9.13333,ok
Casa das Merceeiras,"Travessa das Merceeiras N 9-15, Lisbon 1100-348 Portugal",38.7167,-9.1333,ok
Quinta de CasalMato,"Rua Casal Mato 212, Resende 4660-202 Portugal",40.9583,-7.9333,ok
Holiday Inn Express Lisbon - Oeiras By IHG,"Ave. D. Félix Niza Ribeiro Porto Salvo - Oeiras, Lisbon 2740-314 Portugal",38.69105,-9.31085,ok
The Boliqueime Inn Hotel,"Avenida Professor Dr. Anibal Cavaco Silva Nr. 32, Boliqueime 8100-077 Portugal",37.13718,-8.1582,ok
Quinta do Mel,"Apartado 6080, Olhos de Agua, Albufeira 8201-925 Portugal",37.0984007,-8.2087159,ok
Three Houses Apartments,"Rua do Padre Cruz 181, Porto 4050-220 Portugal",41.1538397,-8.6256098,ok
Hotel Albergaria Dias,"Rua Bela S Tiago 44-B, Funchal, Madeira 9060-400 Portugal",32.6479112,-16.8990277,ok
Espaço Edla,"Rua Doutor Alfredo da Costa 52, Sintra 2710-523 Portugal",38.7989898,-9.3873204,ok
Casa Vela Boutique House,"Rua dos Bem Lembrados 17, Cascais 2750-306 Portugal",38.6965748,-9.4282013,ok
C'alma D'alentejo,"Rua dos Combatentes da Grande Guerra 23, Alandroal 7250-135 Portugal",38.7031282,-7.4029064,ok
Hilton Porto Gaia,"Rua de Serpa Pinto, 124, Vila Nova de Gaia 4400-307 Portugal",41.1356504,-8.6184619,ok
BJB Alojamentos,"Rua Capitao Joao Carlos de Mendonca 2, Olhao 8700-375 Portugal",37.0667,-7.9063,ok
7 Cidades Lake Lodge,"Rua das Lavadeiras, No 2, Ponta Delgada, São Miguel 9500 Portugal",41.38212,-8.3089,ok
Camping Villa Park Zambujeira do Mar,"Zambujeira do Mar, Odemira 7630-740 Portugal",37.525648,-8.7848108,ok
Herdade da Serrinha Agro-Turismo,"Herdade da Azinheirinha Estrada da Caravela Apartado 18, Montemor-o-Novo 7050-019 Portugal",38.64812,-8.21455,ok
Solar da Campina Turismo Rural,"Rua Maria Campina 970 - C Luz de Tavira, Tavira 8800-418 Portugal",37.0896,-7.71395,ok
Parque Campismo Ria Formosa,"Quinta da Gomeira – Cabanas de Tavira, Tavira 8800-058 Portugal",37.1458,-7.6708,ok
Monte Joao Roupeiro,"Joao Roupeiro -Odeceixe, Aljezur 8670-312 Portugal",37.408918,-8.7853979,ok
A Casa Formosa,"Rua Formosa 433 2 Andar, Porto 4000-253 Portugal",41.15,-8.6167,ok
Solar Dos Cáceres,"Praca Dr. Carlos Figueiredo Nunes Casal Vasco, Fornos de Algodres 6370-229 Portugal",40.64961,-7.54681,ok
Captain's Log House,"Avenida do Mar, Peniche 2520-205 Portugal",39.3552385,-9.3786724,ok
Grand Muthu Forte Do Vale,"Rua Dunfermline, Albufeira 8200-278 Portugal",37.0902735,-8.2352955,ok
Sant Jordi Hostels Lisbon,"Rua do Forno do Tijolo 3, Lisbon 1170-132 Portugal",38.7238107,-9.1321902,ok
Predicados do Douro Palace,"Rua Dom Manuel II 246, Porto 4050-343 Portugal",41.1479755,-8.6234217,ok
Wyndham Residences Alvor Beach,"Rua Do Barinel Praia De Alvor, Alvor, Portimao 8500-088 Portugal",37.1243586,-8.5897503,ok
Park Hotel Porto Valongo,"Rua Fonte da Senhora, Valongo 4440-653 Portugal",41.1908487,-8.5099252,ok
Casa Lagoa,"Rua Francisco Almeida Grandela 57, Foz do Arelho 2500-487 Portugal",39.4297224,-9.2199713,ok
Algarve Surf Hostel - Lagos,"Lote 55 Rua do Cerro das Mos, Lagos 8600-714 Portugal",37.1062678,-8.6858423,ok
Dixo's Oporto Hostel,"Rua de Mouzinho da Silveira 72, Porto 4050-415 Portugal",41.1421168,-8.6143004,ok
Charming Antas House,"Rua de Naulila 98 122, Porto 4200-412 Portugal",41.1653795,-8.5898617,ok
Convento da Provença,"Monte Paleiros Ribeira De Nisa, Portalegre 7300 Portugal",39.3286406,-7.4290578,ok
Lisbon Happy Hostel,"Rua dos Correeiros n. 161, Lisbon 1100-164 Portugal",38.7114312,-9.1375437,ok
"Borralha Hotel, Restaurante & Spa","Travessa Moreira de Carvalho No. 2, Vila Real 5000-423 Portugal",41.3135423,-7.7342741,ok
Pestana Vila Lido,"Rua Gorgulho 15-17, Funchal, Madeira 9000-107 Portugal",32.6364509,-16.9308291,ok
Casazul,"Alagoachos Lote 299 Lote 299, Vila Nova de Milfontes 7645-012 Portugal",37.72377,-8.78278,ok
Chicks On Waves,"Quinta da Fortaleza 40, Budens 8650-041 Portugal",37.0667,-8.8,ok
Casas do Porto - Ribeira Apartments,"Rua Ferreira Borges, Porto 4050-253 Portugal",41.1412108,-8.6153104,ok
HolaCamp Albufeira,"Estr. De Ferreiras N395, Albufeira 8200-555 Portugal",37.1237609,-8.2448066,ok
Estalagem Da Ponta Do Sol,"Caminho Do Passo, 6, Ponta Do Sol, Madeira 9360-529 Portugal",32.6791826,-17.1032864,ok
Palacio Vila Flor,"Travessa Sao Joao da Praca 36, Lisbon 1100-523 Portugal",38.7167,-9.1333,ok
Horta de Torrejais,"Estrada da Barca 7860, Moura 7860-307 Portugal",38.0357,-7.8036,ok
Hotel Casa do Tua,"Avenida da Estacao 05, Foz Tua 5140-133 Portugal",41.4512536,-8.5531137,ok
Hotel Cristal Porto,"Travessa Antero de Quental 360, Porto 4000-087 Portugal",41.1149134,-8.5087461,ok
Pure Fonte Velha Bed and Breakfast,"Rua 25 de Abril 13, Vila do Bispo 8650-428 Portugal",37.0820294,-8.9093681,ok
Sol da Vila,"Rua Custódio Brás Pacheco 4, Vila Nova de Milfontes 7645-253 Portugal",37.7250579,-8.7809117,ok
PortoBay Serra Golf,"Sitio dos Casais Proximos, Santo Antonio da Serra, Madeira 9100-255 Portugal",32.71667,-16.81667,ok
Hotel Madeira,"Rua Ivens 21, Funchal, Madeira 9000-046 Portugal",32.6480202,-16.9125233,ok
Encostas do Coa TER,"Quinta Nova Pinhel Rua nova, Quinta Nova 6400-552 Portugal",40.7396,-7.15,ok
Herdade Da Matinha,"Cercal do Alentejo, Cercal 7555-231 Portugal",37.7833,-8.6417,ok
Casa Areias Apartamentos,"Beco do Barnabe 457, Albufeira 8200-287 Portugal",37.0833,-8.25,ok
Quinta Mirabela,"Caminho do Monte 105-107, Funchal, Madeira 9000-288 Portugal",32.6795441,-16.9013869,ok
Vila Gale Collection Braga,"Largo Carlos Amarante, Braga 4700-308 Portugal",41.5494214,-8.4234692,ok
Mayer Apartments,"Rua da Varzea, Luz 8600-157 Portugal",37.0891771,-8.7271383,ok
Artbeat Rooms,"Rua de Sao Nicolau 23 3rd E, Lisbon 1100-547 Portugal",38.7105021,-9.1364571,ok
Vila Gale Porto Ribeira,"Cais das Pedras 22 Lordelo do Ouro e Massarelos, Porto 4050-499 Portugal",41.1451751,-8.6292999,ok
Tivoli Carvoeiro Algarve Resort,"Apartado 1299 Vale Do Covo, Carvoeiro 8401-911 Portugal",37.094179,-8.4572833,ok
Hotel Covilha Dona Maria Affiliated by Meliá,"Alameda Pero da Covilha, Covilha 6200-507 Portugal",40.2686777,-7.4854108,ok
Villa Natura - Ecoturismo,"Caminho Velho da Praia, 14, Vila do Porto, Santa Maria 9580-030 Portugal",41.04342,-8.26822,ok
Candeias do Souto,"Largo da Capela, Braganca 5300-673 Portugal",41.5564853,-7.1830256,ok
Cabanas da Viscondessa,"Caminho de Cima da Ribeira do Nabo, Urzelina, Sao Jorge 9800-404 Portugal",41.38242,-8.24887,ok
Legends' House by Sweet Porto,"Rua do Bonjardim 115, Porto 4000-124 Portugal",41.1474092,-8.609488,ok
Pátio Da Villa Coruche Guest House,"Rua do Borralho 1, Coruche 2100-168 Portugal",38.9570571,-8.5284958,ok
Residencial Londrina,"Rua Castilho 61, Lisbon 1250-068 Portugal",38.723823,-9.1526753,ok
White Exclusive Suites & Villas,"Rua Rocha Quebrada 10 - Atalhada, Lagoa 9560-420 Portugal",37.13535,-8.45319,ok
Turim Marques Hotel,"Rua Mouzinho da Silveira 26, Lisbon 1250-167 Portugal",38.7230262,-9.1503818,ok
Hotel Alegria,"Praça da Alegria, 12, Lisbon 1250-004 Portugal",38.7174959,-9.1448887,ok
Vilas Marrocha,"Vila Senhora Da Rocha, Porches 8400-498 Portugal",37.0975826,-8.3875349,ok
Porto Pim Bay,"Rua Nova 7, Horta, Faial Island 9900-023 Portugal",38.57736,-28.69994,ok
Pedras do Mar Resort & Spa,"Rua das Terca 3, Fenais da Luz, São Miguel 9545-229 Portugal",41.38212,-8.3089,ok
Noah Surf House,"Avenida do Atlântico, nº 2 A, Silveira 2560-061 Portugal",39.143025,-9.3747177,ok
Lisbon Downtown Inn,"Rua de Sao Nicolau 23 1 Esq., Lisbon 1100-547 Portugal",38.7105021,-9.1364571,ok
Memoria Porto FLH Hotels,"Rua Sao Francisco 2, Porto 4050-548 Portugal",41.1410598,-8.6167942,ok
Duque's Apartments,"Rua do Duque 51, Lisbon 1200-158 Portugal",38.7132038,-9.1415009,ok
"Reid's Palace, A Belmond Hotel, Madeira","Estrada Monumental 139, Funchal, Madeira 9000-098 Portugal",32.6406018,-16.923864,ok
PortoBay Liberdade,"Rua Rosa Araujo 8, Lisbon 1250-195 Portugal",38.721028,-9.1507631,ok
Pensao Residencial Setubalense,"Rua De Belem 28, Lisbon 1300-084 Portugal",38.6972251,-9.2020351,ok
Turim Algarve Mor Hotel,"Avenida TomÃ¡s Cabreira, Praia da Rocha, Portimao 8500-802 Portugal",37.1446,-8.5479,ok
Hyatt Regency Lisbon,"Rua da Junqueira 65, Lisbon 1300-343 Portugal",38.7001359,-9.1832971,ok
Camping Quinta Valbom,"Lugar de Quinta Ribas, Celorico de Basto 4890-505 Portugal",41.5722,-8.3389,ok
Casa Mitchell Apartments,"Rua do Tenis, Albufeira 8200-186 Portugal",37.0872453,-8.2563856,ok
Belmar Spa & Beach Resort,"Estrada de Porto de Mos, Lagos 8600-513 Portugal",37.0893162,-8.678685,ok
Villas Barrocal,"Urbanizacao do Barrocal Edf Villas Barrocal,, Pera 8365-211 Portugal",37.12296,-8.34115,ok
Montebelo Viseu Congress Hotel & Spa,"Urbanizacao Quinta do Bosque, Viseu 3510-020 Portugal",40.9472,-7.9278,ok
Quinta do Vale do Monte,"Avenida do Santoinho, Viana do Castelo 4935-176 Portugal",41.825,-8.7208,ok
Jupiter Albufeira Hotel - Family & Fun,"Rua Alexandre O'Neil, Albufeira 8200-343 Portugal",37.1002,-8.2283,ok
Horta da Vila,Alvito 7920-201 Portugal,38.241984,-7.9933335,ok
